                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    151,                 1.1987,                0.65179,                  1.095,                0.98751,                0.34119,                0.45978,                0.36475,                    nan,                    nan,                    nan,                0.00505,                0.00505,                0.00505
                    152,                 1.1904,                0.64802,                 1.0905,                0.97092,                0.34221,                0.46346,                0.36987,                    nan,                    nan,                    nan,               0.005017,               0.005017,               0.005017
                    153,                 1.1899,                0.65568,                 1.0907,                0.99104,                0.34009,                0.46825,                0.37462,                    nan,                    nan,                    nan,               0.004984,               0.004984,               0.004984
                    154,                 1.1923,                0.64914,                 1.0933,                0.99471,                0.34016,                0.47216,                0.37651,                    nan,                    nan,                    nan,               0.004951,               0.004951,               0.004951
                    155,                 1.1881,                0.65728,                 1.0878,                  0.997,                0.34007,                0.47632,                 0.3796,                    nan,                    nan,                    nan,               0.004918,               0.004918,               0.004918
                    156,                 1.1801,                0.64541,                 1.0866,                0.99166,                0.34016,                0.47144,                0.37541,                    nan,                    nan,                    nan,               0.004885,               0.004885,               0.004885
                    157,                 1.1712,                0.63816,                 1.0864,                 0.9908,                0.34016,                0.45711,                0.36263,                    nan,                    nan,                    nan,               0.004852,               0.004852,               0.004852
                    158,                 1.1876,                  0.646,                 1.0871,                0.98754,                0.34016,                0.45835,                0.36395,                    nan,                    nan,                    nan,               0.004819,               0.004819,               0.004819
                    159,                  1.183,                0.64519,                 1.0888,                0.98516,                0.34119,                0.46439,                0.37038,                    nan,                    nan,                    nan,               0.004786,               0.004786,               0.004786
                    160,                 1.1753,                0.64553,                 1.0875,                0.98396,                0.34119,                0.46643,                0.37372,                    nan,                    nan,                    nan,               0.004753,               0.004753,               0.004753
                    161,                   1.17,                0.62839,                 1.0819,                0.98427,                0.34119,                0.46857,                0.37387,                    nan,                    nan,                    nan,                0.00472,                0.00472,                0.00472
                    162,                 1.1811,                0.63883,                 1.0804,                0.97489,                0.34119,                0.47726,                0.38234,                    nan,                    nan,                    nan,               0.004687,               0.004687,               0.004687
